image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,8,2,2,0.1,24.1,0.07106827260534994,0.023065095923992397,-0.04800317668135754,0.2672014751258143,-0.520184603884853,0.49633061001145984,0.95,percentile,500,272,True
roi,1,9,3,2,0.1,24.1,0.6555843234671952,0.6777226386828206,0.02213831521562537,0.290071713785518,0.18762449400157827,1.3080469479441525,0.95,percentile,500,272,True
roi,1,10,4,2,0.1,24.1,-0.9709177901150294,-1.01216088002398,-0.04124308990895065,0.309638016568747,-1.685467441110659,-0.46353420730936473,0.95,percentile,500,272,True
roi,1,11,5,2,0.1,24.1,-0.4951171354449282,-0.5331519137472271,-0.038034778302298955,0.24801829691932617,-1.0708490482618291,-0.10660471263165863,0.95,percentile,500,272,True
roi,1,12,6,2,0.1,24.1,0.39491167928162424,0.4301078245670955,0.03519614528547127,0.18252533229273937,0.10142119306487483,0.7819134810367896,0.95,percentile,500,272,True
roi,1,1,1,1,0.11,24.71,-0.38050774972895723,-0.33915324670044145,0.04135450302851579,0.3598479318618263,-1.016935266041288,0.36132040928737286,0.95,percentile,500,272,True
roi,1,2,2,1,0.11,24.71,0.5938454651908862,0.5800400970010479,-0.013805368189838352,0.31668933553669326,-0.07097278420332948,1.1883709692869233,0.95,percentile,500,272,True
roi,1,3,3,1,0.11,24.71,-0.24555946225842287,-0.250716832488069,-0.005157370229646102,0.25998244387507635,-0.7203726224319118,0.23156951727716582,0.95,percentile,500,272,True
roi,1,4,4,1,0.11,24.71,-0.11208540469585877,-0.10309755167685535,0.008987853019003428,0.256110650050959,-0.5811152974048701,0.4069870732580636,0.95,percentile,500,272,True
roi,1,5,5,1,0.11,24.71,0.15310059029029893,0.11255815873650937,-0.04054243155378956,0.19433153388196708,-0.2758086493523471,0.47786204363264445,0.95,percentile,500,272,True
roi,1,6,6,1,0.11,24.71,0.19298438769923548,0.2544134382616217,0.061429050562386234,0.16899578564100812,-0.08473369785760598,0.5892698670818773,0.95,percentile,500,272,True
roi,1,7,1,2,0.11,24.71,-0.056729671489210654,0.0031265901132309115,0.05985626160244156,0.25760883989501154,-0.5109021884043103,0.4587191726092063,0.95,percentile,500,272,True
roi,1,8,2,2,0.11,24.71,0.05815999492727896,0.011789085861875243,-0.04637090906540372,0.26082180960635865,-0.5238959991452318,0.4762252875421546,0.95,percentile,500,272,True
roi,1,9,3,2,0.11,24.71,0.65818734136313,0.6803463277796634,0.022158986416533466,0.2849841616302594,0.19921677412166128,1.2958128682618537,0.95,percentile,500,272,True
roi,1,10,4,2,0.11,24.71,-0.9823452623145492,-1.0247791500614076,-0.04243388774685841,0.3040601769585043,-1.6678647155242863,-0.4886590400422284,0.95,percentile,500,272,True
roi,1,11,5,2,0.11,24.71,-0.5164022527161368,-0.5563248723741456,-0.03992261965800881,0.24280515912826003,-1.0918214314697228,-0.13300734601205924,0.95,percentile,500,272,True
roi,1,12,6,2,0.11,24.71,0.4014847276414104,0.4373982030891799,0.035913475447769516,0.17885274354188535,0.1123970972625073,0.7807661807124378,0.95,percentile,500,272,True
roi,1,1,1,1,0.12,25.32,-0.36724001447090643,-0.3265965542522913,0.040643460218615146,0.35134374867760837,-0.9894108277288459,0.3631540076513776,0.95,percentile,500,272,True
roi,1,2,2,1,0.12,25.32,0.5743887125060101,0.5616272305545748,-0.012761481951435338,0.30856636197636456,-0.07013888709910544,1.1541786700856427,0.95,percentile,500,272,True
roi,1,3,3,1,0.12,25.32,-0.23461839926299807,-0.24019855318969496,-0.00558015392669689,0.2534716735862605,-0.7000208881254345,0.2262760883176138,0.95,percentile,500,272,True
roi,1,4,4,1,0.12,25.32,-0.10188333363695495,-0.09285920405043388,0.009024129586521074,0.25029343297805545,-0.5626009665589615,0.41210531739621714,0.95,percentile,500,272,True
roi,1,5,5,1,0.12,25.32,0.1358205268725585,0.09446334345600853,-0.04135718341654997,0.19050526482808774,-0.28640676896277173,0.4524733317064263,0.95,percentile,500,272,True
roi,1,6,6,1,0.12,25.32,0.20621246934615786,0.2678617546389816,0.061649285292823736,0.16589052172566277,-0.06552304806511777,0.5969849930085717,0.95,percentile,500,272,True
roi,1,7,1,2,0.12,25.32,-0.051714747148154376,0.007107666620370408,0.05882241376852478,0.2523999059811435,-0.4960907636453477,0.4471071369714411,0.95,percentile,500,272,True
roi,1,8,2,2,0.12,25.32,0.04581673954929198,0.0010425105891074314,-0.04477422896018455,0.2546755059367246,-0.5240640692273049,0.45185034497923643,0.95,percentile,500,272,True
roi,1,9,3,2,0.12,25.32,0.6600071877870807,0.6821362300943834,0.022129042307302726,0.28006726855193226,0.20464836693955735,1.287955220432686,0.95,percentile,500,272,True
roi,1,10,4,2,0.12,25.32,-0.9929431837024276,-1.0365023494061572,-0.04355916570372953,0.298809509388136,-1.651245199475108,-0.49838820311247417,0.95,percentile,500,272,True
roi,1,11,5,2,0.12,25.32,-0.5370111884755938,-0.5787986953249677,-0.041787506849373934,0.23812362874918042,-1.1075399259759635,-0.15454238164466733,0.95,percentile,500,272,True
roi,1,12,6,2,0.12,25.32,0.40767237574798004,0.4443327963490559,0.03666042060107588,0.1753726635873499,0.12288610399149479,0.7796734461963234,0.95,percentile,500,272,True
roi,1,1,1,1,0.13,25.93,-0.3543771018187243,-0.31434106754049373,0.04003603427823055,0.34300924555734885,-0.9628186640620899,0.3573170884685047,0.95,percentile,500,272,True
roi,1,2,2,1,0.13,25.93,0.5553525740322471,0.543552766069832,-0.011799807962415088,0.30070486068419955,-0.06921904202842756,1.1129475844778507,0.95,percentile,500,272,True
roi,1,3,3,1,0.13,25.93,-0.22398868574075456,-0.22995120245880865,-0.0059625167180540894,0.2472326056366224,-0.6772297268615408,0.2313657081378718,0.95,percentile,500,272,True
roi,1,4,4,1,0.13,25.93,-0.09206678284626263,-0.08299173114436133,0.009075051701901302,0.24470806015071203,-0.5434772275326462,0.4082090653985916,0.95,percentile,500,272,True
roi,1,5,5,1,0.13,25.93,0.11906486758478721,0.0768766998154925,-0.04218816776929471,0.18700357069072282,-0.2899416573679121,0.4318089075571441,0.95,percentile,500,272,True
roi,1,6,6,1,0.13,25.93,0.2186752702059455,0.28056397811743294,0.061888707911487456,0.16294237936855324,-0.04825880408940942,0.6056776326123834,0.95,percentile,500,272,True
roi,1,7,1,2,0.13,25.93,-0.04651617307732532,0.011386297041689857,0.05790247011901518,0.2472897832182615,-0.47538712539939987,0.4386047325175807,0.95,percentile,500,272,True
roi,1,8,2,2,0.13,25.93,0.0339944130938985,-0.009217589089087059,-0.04321200218298556,0.24876969556926803,-0.5261453737275299,0.43301378487121184,0.95,percentile,500,272,True
roi,1,9,3,2,0.13,25.93,0.6611008200635815,0.6831536293832754,0.02205280931969389,0.27533560268163193,0.21527483487273313,1.277475691409304,0.95,percentile,500,272,True
